INF [20100405-20:04:34.643] w3c: 12 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.651] w3c: 7 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.655] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.660] w3c: 4 - - - - - - - RowzShards:add_child_shard 12,10,1
INF [20100405-20:04:34.662] w3c: 1 - - - - - - - RowzShards:add_child_shard 12,11,1
INF [20100405-20:04:34.664] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:5534023222112865483,_shard_id:12)
INF [20100405-20:04:34.710] w3c: 45 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a4,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.760] w3c: 49 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b4,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.776] w3c: 15 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_4,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.779] w3c: 1 - - - - - - - RowzShards:add_child_shard 15,13,1
INF [20100405-20:04:34.781] w3c: 2 - - - - - - - RowzShards:add_child_shard 15,14,1
INF [20100405-20:04:34.783] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:7378697629483820644,_shard_id:15)
INF [20100405-20:04:34.794] w3c: 10 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a5,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.804] w3c: 8 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b5,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.807] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_5,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.809] w3c: 1 - - - - - - - RowzShards:add_child_shard 18,16,1
INF [20100405-20:04:34.811] w3c: 1 - - - - - - - RowzShards:add_child_shard 18,17,1
INF [20100405-20:04:34.814] w3c: 2 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:9223372036854775805,_shard_id:18)
INF [20100405-20:04:34.819] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a6,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.852] w3c: 32 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b6,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.855] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_6,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.859] w3c: 3 - - - - - - - RowzShards:add_child_shard 21,19,1
INF [20100405-20:04:34.863] w3c: 1 - - - - - - - RowzShards:add_child_shard 21,20,1
INF [20100405-20:04:34.868] w3c: 3 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-7378697629483820650,_shard_id:21)
INF [20100405-20:04:34.878] w3c: 9 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a7,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.892] w3c: 12 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b7,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.897] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_7,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.900] w3c: 2 - - - - - - - RowzShards:add_child_shard 24,22,1
INF [20100405-20:04:34.909] w3c: 8 - - - - - - - RowzShards:add_child_shard 24,23,1
INF [20100405-20:04:34.913] w3c: 3 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-5534023222112865489,_shard_id:24)
INF [20100405-20:04:34.922] w3c: 7 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a8,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
